127.0.0.1 - - [20/Dec/2023:11:32:38 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:32:39 +0530] "GET /Job-Portal/ HTTP/1.1" 200 3938
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:32:39 +0530] "GET /Job-Portal/all_component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:32:39 +0530] "GET /Job-Portal/img/wall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:32:39 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:32:59 +0530] "GET /Job-Portal/index.jsp HTTP/1.1" 200 3938
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:33:48 +0530] "GET /Job-Portal/login.jsp HTTP/1.1" 200 7310
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:34:22 +0530] "GET /Job-Portal/signup.jsp HTTP/1.1" 200 7307
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:34:35 +0530] "GET /Job-Portal/login.jsp HTTP/1.1" 200 7310
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:34:51 +0530] "POST /Job-Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:34:52 +0530] "GET /Job-Portal/admin.jsp HTTP/1.1" 200 4090
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:34:52 +0530] "GET /Job-Portal/img/admin_wall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:35:05 +0530] "GET /Job-Portal/index.jsp HTTP/1.1" 200 4199
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:35:06 +0530] "GET /Job-Portal/index.jsp HTTP/1.1" 200 4199
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:35:07 +0530] "GET /Job-Portal/index.jsp HTTP/1.1" 200 4199
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:35:52 +0530] "GET /Job-Portal/index.jsp HTTP/1.1" 200 4199
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:35:54 +0530] "GET /Job-Portal/index.jsp HTTP/1.1" 200 4199
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:35:56 +0530] "GET /Job-Portal/add_job.jsp HTTP/1.1" 200 6010
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:36:06 +0530] "GET /Job-Portal/add_job.jsp HTTP/1.1" 200 6010
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:36:40 +0530] "GET /Job-Portal/add_job.jsp HTTP/1.1" 200 6009
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:37:22 +0530] "POST /Job-Portal/add_job HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:11:37:22 +0530] "GET /Job-Portal/add_job.jsp HTTP/1.1" 200 6111
